,count,unique,top,freq,mean,std,min,25%,50%,75%,max
url,1167,1161,https://qualcomm.com,3,,,,,,,
Response_time_ms,1167.0,,,,370.9700085689803,1192.1729059030592,0.0,24.0,126.0,357.5,25080.0
Load_time_ms,1167.0,,,,4088.6510210848337,4025.0146916407166,76.0,1675.5,3308.0,5335.56959,49848.0
DOM_Content_Loaded_Time_ms,1167.0,,,,2489.924592973436,2974.7450595414093,61.0,928.0,1713.0,3047.5,35214.0
First_byte_TTFB_ms,1167.0,,,,346.7549271636675,1161.8424320758143,0.0,27.5,112.0,322.5,23972.0
Total_links,1167.0,,,,1039.2562125107113,2298.412124785787,0.0,75.0,188.0,507.5,23613.0
No_of_requests,1167.0,,,,572.235646958012,1298.9393985328825,0.0,41.0,92.0,239.0,14600.0
Byte_in_bytes,1167.0,,,,1935125.7266495286,4274507.753637568,0.0,269.0,597536.0,2189798.0,71211927.0
Page_size_MB,1167.0,,,,39.5291619537275,98.96330243722487,0.0,0.3065,1.648,6.954,1051.0
Largest_contentful_paint_LCP_ms,1167.0,,,,10351.592094310196,15011.029750323964,0.0,92.5,7738.5785,15151.973375000001,330536.188
Cumulative_Layout_Shift_CLS,1167.0,,,,776866.249267051,3012336.4863866493,0.0,0.0005845060711000001,0.1014043067,6090.69,36990595.0
First_Contentful_Paint_FCP_ms,1167.0,,,,4093.011505658955,3928.882557432748,0.0,258.5,3736.211,5719.51333,34944.7985
Time_to_interactive_TTI_ms,1167.0,,,,22528.647097932306,17929.197679300767,826.114,11791.6175,18229.07073,28389.83475,334797.238
Speed_Index_ms,1167.0,,,,6710.083995977125,6739.611862926819,0.0,0.077669788245,6324.048821,10019.61354,40008.06373
Interaction_to_Next_Paint_INP_ms,1167.0,,,,5462.525220937447,2442.616514248649,800.7545,4438.492626736112,4704.2645,5873.050375,40308.0965
Design_optimization_score,1167.0,,,,9338.847703470436,16271.071890433686,0.0,27.0,36.0,15727.545590000002,104991.311
JavaScript_Execution_Time_ms,1167.0,,,,18545.64783358355,16989.54846610943,469.336,7693.36927,12493.512,22914.142,135620.152
Main_Thread_Work_CPU_ms,1167.0,,,,7079.624418313625,8355.717528537982,0.0,1884.8475137276612,4100.6462,9893.05345,78840.325
CSS_Blocking_Time_ms,1167.0,,,,1161.9314481576691,2021.2321549275532,0.0,26.0,269.0,1654.5,27764.0
Broken_link_count,1167.0,,,,8481.320982005142,16921.346731713,0.0,1.0,15.0,11304.818,129881.424
Start_render_time_ms,1167.0,,,,7023.208272977891,7378.517419107463,0.0,3337.8534,5004.2885,7768.8369999999995,79090.0885
Document_complete_time_ms,1167.0,,,,3018.8688946015423,3687.5132303673895,0.0,867.0,2123.0,3947.5,49848.0
