Feature,Mean_Abs_SHAP,Importance_Rank,Percentage
composite_score,0.7252,1,100.0
Response_time_ms,0.0,2,0.0
DOM_Content_Loaded_Time_ms,0.0,3,0.0
First_byte_TTFB_ms,0.0,4,0.0
Total_links,0.0,5,0.0
Load_time_ms,0.0,6,0.0
No_of_requests,0.0,7,0.0
Byte_in_bytes,0.0,8,0.0
Largest_contentful_paint_LCP_ms,0.0,9,0.0
Page_size_MB,0.0,10,0.0
First_Contentful_Paint_FCP_ms,0.0,11,0.0
Time_to_interactive_TTI_ms,0.0,12,0.0
Speed_Index_ms,0.0,13,0.0
Cumulative_Layout_Shift_CLS,0.0,14,0.0
Interaction_to_Next_Paint_INP_ms,0.0,15,0.0
Design_optimization_score,0.0,16,0.0
Main_Thread_Work_CPU_ms,0.0,17,0.0
JavaScript_Execution_Time_ms,0.0,18,0.0
CSS_Blocking_Time_ms,0.0,19,0.0
Broken_link_count,0.0,20,0.0
Start_render_time_ms,0.0,21,0.0
Document_complete_time_ms,0.0,22,0.0
